mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	decrescendo_hairpin	crescendo_hairpin	Ottava:8va	pedal
1	1	0	0	0.0	0	0	StaffText	4/4	1	1	0							"<font size=""11.5335""/><font face=""Plantin MT Std""/><b>Preludio con moto</b>"										
1	1	0	0	0.0	0	0	Tempo	4/4	1	1	0								𝅘𝅥=120	120.0	𝅘𝅥	120.0	1.0					
1	1	3/2	3/2	1.0	3/8	3/8	Chord	4/4	1	1	1/4		1/4	1	0									0				
1	1	5/2	5/2	0.0	5/8	5/8	Spanner	4/4	1	1	0													0		0		
1	1	5/2	5/2	1.0	5/8	5/8	Chord	4/4	1	1	1/4		1/4	1	1									0		0		
1	1	7/2	7/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	2									0		0		
1	1	0	0	0.0	0	0	StaffText	4/4	2	1	0							"<font size=""10.5723""/><font face=""Opus Text Std""/>P"										
1	1	1	1	0.0	1/4	1/4	Dynamic	4/4	2	1	0					mf												
1	1	1	1	1.0	1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	3													
1	1	2	2	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	4													
1	1	3	3	1.0	3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	5													
2	2	9/2	9/2	0.0	1/8	1/8	Spanner	4/4	1	1	0																	
2	2	9/2	9/2	1.0	1/8	1/8	Chord	4/4	1	1	1/4		1/4	1	6													
2	2	11/2	11/2	0.0	3/8	3/8	Spanner	4/4	1	1	0															1		
2	2	11/2	11/2	1.0	3/8	3/8	Chord	4/4	1	1	1/4		1/4	1	7									1		1		
2	2	13/2	13/2	1.0	5/8	5/8	Chord	4/4	1	1	1/4		1/4	1	8									1		1		
2	2	15/2	15/2	0.0	7/8	7/8	Spanner	4/4	1	1	0													1				
2	2	15/2	15/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	9									1				
2	2	4	4	0.0	0	0	StaffText	4/4	2	1	0							"<font size=""10.5723""/><font face=""Opus Text Std""/>P"										
2	2	4	4	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	10													
2	2	5	5	1.0	1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	11													
2	2	6	6	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	12													
2	2	7	7	1.0	3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	13													
3	3	17/2	17/2	1.0	1/8	1/8	Chord	4/4	1	1	1/4		1/4	1	14													
3	3	19/2	19/2	0.0	3/8	3/8	StaffText	4/4	1	1	0							"<font size=""10.5723""/><font face=""Plantin MT Std""/><i>cresc.molto</i>"										
3	3	19/2	19/2	0.0	3/8	3/8	Spanner	4/4	1	1	0															2		
3	3	19/2	19/2	1.0	3/8	3/8	Chord	4/4	1	1	1/4		1/4	1	15									2		2		
3	3	21/2	21/2	1.0	5/8	5/8	Chord	4/4	1	1	1/4		1/4	1	16									2		2		
3	3	23/2	23/2	0.0	7/8	7/8	Spanner	4/4	1	1	0													2				
3	3	23/2	23/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	17									2				
3	3	8	8	0.0	0	0	StaffText	4/4	2	1	0							"<font size=""10.5723""/><font face=""Opus Text Std""/>P"										
3	3	8	8	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	18													
3	3	9	9	1.0	1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	19		articTenutoBelow											
3	3	10	10	0.0	1/2	1/2	StaffText	4/4	2	1	0							"<font size=""10.5723""/><font face=""Opus Text Std""/>P"										
3	3	10	10	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	20													
3	3	11	11	1.0	3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	21		articTenutoBelow											
4	4	12	12	0.0	0	0	StaffText	4/4	1	1	0							rit.						2				
4	4	25/2	25/2	1.0	1/8	1/8	Chord	4/4	1	1	1/4		1/4	1	22													
4	4	27/2	27/2	1.0	3/8	3/8	Chord	4/4	1	1	1/4		1/4	1	23													
4	4	29/2	29/2	1.0	5/8	5/8	Chord	4/4	1	1	1/4		1/4	1	24													
4	4	31/2	31/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	25													
4	4	12	12	0.0	0	0	StaffText	4/4	2	1	0							"<font size=""10.5723""/><font face=""Opus Text Std""/>P"										
4	4	12	12	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	26													
4	4	13	13	1.0	1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	27													
4	4	14	14	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	28													
4	4	15	15	1.0	3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	29													
5	5	16	16	0.5	0	0	Chord	4/4	1	1	1/8		1/8	1	30													
5	5	33/2	33/2	0.0	1/8	1/8	Spanner	4/4	1	1	0																0	
5	5	33/2	33/2	1.0	1/8	1/8	Chord	4/4	1	1	1/4		1/4	1	31												0	
5	5	35/2	35/2	1.0	3/8	3/8	Chord	4/4	1	1	1/4		1/4	1	32												0	
5	5	37/2	37/2	0.0	5/8	5/8	Spanner	4/4	1	1	0																	
5	5	37/2	37/2	1.5	5/8	5/8	Chord	4/4	1	1	3/8		1/4	3/2	33													
5	5	16	16	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	34													
5	5	17	17	1.0	1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	35													
5	5	18	18	2.0	1/2	1/2	Chord	4/4	2	1	1/2		1/2	1	36													
6	6	20	20	0.0	0	0	StaffText	4/4	1	1	0							"<font size=""11.5335""/><font face=""Plantin MT Std""/><b>Ritenuto</b>"										
6	6	22	22	0.0	1/2	1/2	StaffText	4/4	1	1	0							"<font size=""10.5723""/><font face=""Plantin MT Std""/>accentuato"										
6	6	22	22	0.6666666666666666	1/2	1/2	Chord	4/4	1	1	1/6		1/4	2/3	37													
6	6	68/3	68/3	0.6666666666666666	2/3	2/3	Chord	4/4	1	1	1/6		1/4	2/3	38													
6	6	70/3	70/3	0.6666666666666666	5/6	5/6	Chord	4/4	1	1	1/6		1/4	2/3	39													
6	6	20	20	0.0	0	0	Dynamic	4/4	2	1	0					f												
6	6	22	22	0.5	1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	40													
7	7	24	24	0.6666666666666666	0	0	Chord	4/4	1	1	1/6		1/4	2/3	41													
7	7	74/3	74/3	1.0	1/6	1/6	Chord	4/4	1	1	1/4		1/4	1	42		articAccentBelow											
7	7	77/3	77/3	0.3333333333333333	5/12	5/12	Chord	4/4	1	1	1/12		1/8	2/3	43													
7	7	24	24	0.5	0	0	Chord	4/4	2	1	1/8		1/8	1	44													
8	8	30	30	0.6666666666666666	1/2	1/2	Chord	4/4	1	1	1/6		1/4	2/3	45													
8	8	92/3	92/3	0.6666666666666666	2/3	2/3	Chord	4/4	1	1	1/6		1/4	2/3	46													
8	8	94/3	94/3	0.6666666666666666	5/6	5/6	Chord	4/4	1	1	1/6		1/4	2/3	47													
8	8	30	30	0.5	1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	48													
9	9	32	32	0.0	0	0	StaffText	4/4	1	1	0							rit.										
9	9	32	32	0.0	0	0	Spanner	4/4	1	1	0															3		
9	9	32	32	0.6666666666666666	0	0	Chord	4/4	1	1	1/6		1/4	2/3	49											3		
9	9	98/3	98/3	0.6666666666666666	1/6	1/6	Chord	4/4	1	1	1/6		1/4	2/3	50											3		
9	9	100/3	100/3	0.6666666666666666	1/3	1/3	Chord	4/4	1	1	1/6		1/4	2/3	51											3		
9	9	34	34	0.0	1/2	1/2	Spanner	4/4	1	1	0																	
9	9	34	34	0.6666666666666666	1/2	1/2	Chord	4/4	1	1	1/6		1/4	2/3	52													
9	9	104/3	104/3	0.6666666666666666	2/3	2/3	Chord	4/4	1	1	1/6		1/4	2/3	53													
